Total score,How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think this is a deepfake?,Do you think this is a deepfake? [Score],Do you think this is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think this is a deepfake?,Do you think this is a deepfake? [Score],Do you think this is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think this is a deepfake?,Do you think this is a deepfake? [Score],Do you think this is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think this is a deepfake?,Do you think this is a deepfake? [Score],Do you think this is a deepfake? [Feedback],Do you think the use of deepfake technology should be regulated by law? Why or why not?,Do you think the use of deepfake technology should be regulated by law? Why or why not? [Score],Do you think the use of deepfake technology should be regulated by law? Why or why not? [Feedback],"In what situations (if any) do you believe deepfake technology can be ethically used? (e.g., entertainment, education, politics, etc.)  For example, by informing the users beforehand  and for societal benefits such as promoting harmony and unity.","In what situations (if any) do you believe deepfake technology can be ethically used? (e.g., entertainment, education, politics, etc.)  For example, by informing the users beforehand  and for societal benefits such as promoting harmony and unity. [Score]","In what situations (if any) do you believe deepfake technology can be ethically used? (e.g., entertainment, education, politics, etc.)  For example, by informing the users beforehand  and for societal benefits such as promoting harmony and unity. [Feedback]","Can deepfake technology be a tool for creativity and innovation, such as bringing historical figures to life for educational purposes or enhancing storytelling in films? Where do you draw the line between ethical and unethical use?","Can deepfake technology be a tool for creativity and innovation, such as bringing historical figures to life for educational purposes or enhancing storytelling in films? Where do you draw the line between ethical and unethical use? [Score]","Can deepfake technology be a tool for creativity and innovation, such as bringing historical figures to life for educational purposes or enhancing storytelling in films? Where do you draw the line between ethical and unethical use? [Feedback]","What could be some advantages  of using deepfakes, given a specific context? Give examples.","What could be some advantages  of using deepfakes, given a specific context? Give examples. [Score]","What could be some advantages  of using deepfakes, given a specific context? Give examples. [Feedback]",According to you what are some serious negative consequences of using deepfakes? Give examples.,According to you what are some serious negative consequences of using deepfakes? Give examples. [Score],According to you what are some serious negative consequences of using deepfakes? Give examples. [Feedback]
6.00 / 10,I am moderately aware.,-- / 0,,No,0.00 / 1,,i am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,gov should not control deepfakes because they couldn't control them,-- / 0,,Yes for impersonating a person in his absence,-- / 0,,Yes they can be but the content they are sharing should be verified,-- / 0,,They can be used to bring different people to life and get their perspective.,-- / 0,,People may get negative image on social media because of some one else making their deepfake,-- / 0,
5.00 / 10,I am highly aware.,-- / 0,,No,0.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,"yes, because it may regulate some information",-- / 0,,no,-- / 0,,yes but in some of the topic,-- / 0,,in study,-- / 0,,might manipulate the information,-- / 0,
5.00 / 10,I am moderately aware.,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,It is not as useful as it looks,-- / 0,,for making educational videos,-- / 0,,yes,-- / 0,,for making good content for gen Z,-- / 0,,no comments,-- / 0,
4.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,yes because it can lead to misrepresentation in media and distrust in sources,-- / 0,,it could be used ethically for entertainment purposes to ease load on the actors but only with their full consent ,-- / 0,,no this should not be done to prevent propaganda and all use should be regulated,-- / 0,,a big advantage can be improving the cast for media projects in entertainment industry ,-- / 0,,distrust in sources,-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware.,-- / 0,,No,1.00 / 1,,"No, I don't think that the use of deepfake technology should be regulated by law, because people can use it in the wrong way, which they are not supposed to do.",-- / 0,,"In many situtations deepfake technology can be very helpful like entertainment, education, ethical activities.",-- / 0,,"Using deepfake technology can surely be a perfect tool, it can make learning process so easy. Students who find learning history will now enjoy using the life like statues talking to them, telling their own stories.",-- / 0,,"There can be many advantages of using the deepfake technology, such that it can be used in educational purposes, entertainment, etc.",-- / 0,,"Deepfake can be used in malpractices such as tampering with evidence, and making fake id's,",-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,"Yes,  it can influence reality at some point.",-- / 0,,"entertainment and education maybe, but in any situation it can still be misused to a huge extent.",-- / 0,,"When they start to influence real life objects, as long as it is virtual unrelated to anyone or anything, it should be fine.",-- / 0,,Could help people who have auditory processing disorder,-- / 0,,It can ruin the legitimacy of something,-- / 0,
7.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,"I think it should be regulated, this technology can be misused in various ways people can use it to pretend to be someone else and cause issues in the others personal life thus this technology needs to be regulated. ",-- / 0,,this technology can be used in the entertainment industry to help show historical figures more accurately,-- / 0,,I believe that the use is fine as long as the individuals being deepfake have given consent for this to happen or if the individual is no more than his remaining family is consenting to the deepfake otherwise it should be unethical ,-- / 0,,this technology can be used in the entertainment industry to help show historical figures more accurately,-- / 0,,people can commit crimes or steal a particular individual belonging by impersonating them ,-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,"yes , because is can affect our privacy, for example ......some can use our deepfake video or voice to spread misinformation .",-- / 0,,"for misleading and spreading wrong information,....it can be also used to spread hate about someone ,etc.",-- / 0,,yes it can be . ,-- / 0,,"it can help company for advertisement, in very less Invesment!",-- / 0,,it can breach someone's privacy....as well as it can also spread hate for someone by misleading videos and all ,-- / 0,
7.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,"Yes, it should be regulated by law. The technology to imitate someone else to such an extent should definitely be regulated by law and consent should also be taken from the party who is being imitated and the party who is being subjected to the deepfake. ",-- / 0,,Education and entertainment are good uses for this technology.,-- / 0,,"Yes, it can definitely be used for creative purposes. I feel like it is ethical as long as it benefits society as a whole and not a singular person.",-- / 0,,They can be used to replace news reporters.,-- / 0,,It could potentially be used for many illegal activities,-- / 0,
6.00 / 10,I am moderately aware.,-- / 0,,No,0.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,"Yes ,it should be regulated cause there can be an illegal use of others personal pictures or voices in a wrong way without their permission.",-- / 0,,deepfakes can be used in bringing historical figures or other people who passed away to bring them back to life just for educational and emotional purposes.,-- / 0,,yes.we can use deepfakes as long as no one is hurt by them.,-- / 0,,for bringing back dead people to life in a photo which can give emotional support to their close ones,-- / 0,,"mostly,deepfakes are used for very wrong purposes such as its use in creating images of people in a wrong way",-- / 0,
7.00 / 10,I am moderately aware.,-- / 0,,No,0.00 / 1,,i am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,"Yes , So we can differentiate real and fake news",-- / 0,,Entertainment ,-- / 0,,Yes,-- / 0,,Time reducing ,-- / 0,,Fake news or publicity ,-- / 0,
8.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,It should be regulated heavily as it can be misleading and lead to confusion among people. Especially those people who arent aware of deepfake technology.,-- / 0,,I can think of very few cases where deepfake tech can be used ethically. One good use of it could be in entertainment if the actor agrees beforehand for the use of it. Right now the tech isnt nearly good enough to be used as a substitiute for an actor. Maybe in the future if it is then it could be allowed in very select places.,-- / 0,,That is a good use of deepfake tech i feel like. As of right now I think it brings more negatives than positives though. ,-- / 0,,Maybe deepfakes could be used in crime investigations to simulate to a victim how the person who affected them was. Maybe if we get a clear photo of them in our mind we can can catch criminals more easily.,-- / 0,,Obviously using deepfake technology to put somebody in certain videos without their consent is absolutely ridiculous. Like if my grandmother saw a deepfaked video of Modi announcing a war with China she would believe it. These kind of problems are a huge deal in my opinion.,-- / 0,
8.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,i am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,"Yes, considering the fact that deepfake technology keeps getting closer at imitating people and voices, so false information can be spread in a way as if said by a targeted person.",-- / 0,,Against terrorist communities,-- / 0,,Yes. Some deepfake can be deemed unethical if it does/says something different from what that person has already said.,-- / 0,,Faking terrorist communities,-- / 0,,False information being spread by important people,-- / 0,
6.00 / 10,I am moderately aware.,-- / 0,,No,0.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,"YES IT SHOULD REGULATED BY LAW 
AS IT MAY BE USED BY CRIMINALS TO FRAUD AND CHEAT PEOPLE 
MAY MISUSE",-- / 0,,IT CAN BE USED FOR MOVIES LIKE ENTERTAINMENT AND EDUCATION WHEN YOU HAVE DOUBT OF ANY TOPIC AND IN MOVIES AS SUBSITUTE OF ACTORS,-- / 0,,YES IT CAN BE USED IN CONENT CREATION AND USING IN MANY FLIMS AND MANY SECTIONS OF INDUSTRY TO MANFACTURE NEW PRODUCT TECHNOLOGY,-- / 0,,IT IS EASY TO ACCESS AND USE FOR CONTENT CREATING AND EASY GRASPING OF KNOWLEDGE WHERE YOU CAN EFFORT LESS DESIGN THINGS AND CONENT ALSO,-- / 0,,MISUSING BY CRIMINALS TO THREATEN PEOPLE AND GOVT OFFICIALS TO MALPRATICE,-- / 0,
9.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,sure why not until and unless there are rules and regulations  against misuse and misconduct pertaining to anyones identity and if the person on which it is used doesnt like the form of content can restrict any further use of that content ,-- / 0,,"to catch criminals by enacting the crime scene and finding for any clues. 

Using deepfakes to de-age actors, recreate historical figures, or continue performances after an actor’s death (with consent from their family/estate).

As long as audiences are clearly informed it is fictional, avoiding deception.",-- / 0,,"yes, until it is not used for identity theft or for any misleading activities.",-- / 0,,"Make learning more engaging and accessible.

A history class could use deepfakes to create a lifelike recreation of historical figures (e.g., Gandhi explaining his philosophy) while clearly informing students that it is a synthetic re-creation.",-- / 0,,Identity theft  ,-- / 0,
7.00 / 10,I am moderately aware.,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,It should be regulated by law because not everyone is aware when they use/see AI. It can be quite dangerous if a public figure advises wrongly,-- / 0,,It can be used if its done carefully for example if some political leader is not available to give an important message,-- / 0,,It definitely can be used in that way. ,-- / 0,,Bringing back historical figures to life,-- / 0,,"Matters of national security, damaging figures of popular people",-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,No,0.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,"Yes, it should be regulated. Deepfake technology can be misused in various ways such as defamation of a person, spreading of hate speech.  ",-- / 0,,"Disney used the deepfake technoloogy to bring back several of its old characters to life, in the Star Wars franchise, such usecases can be considered ethical.",-- / 0,,"Yes, as mentioned inthe previous answer, deepfake technology be a tool for creativity and innovation, such as bringing historical figures to life for educational purposes or enhancing storytelling in films. Where to draw the line is a matter of much debate.",-- / 0,,bringing historical figures to life for educational purposes..,-- / 0,,"Defamation of public personalities, unconsentual use of deepfake to create pornographic content etc",-- / 0,
10.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,"Yes, the use of deepfake should be regulated by the law because people can misuse this technology, they can demean others by putting others' faces which could be devastating.",-- / 0,,"We can used deepfake technology ethically in many ways, and in fact are being used, such as the voice of Darth Vader from the franchise Star Wars, the VA though as passed away, but his voice is now being used for present movies, we can even used deepfake of famous personalities to promote and motivate.",-- / 0,,"Yes, we can use it as a tool for creativity and innovation. We draw the line when faces of common people are used without their consent, especially in obscene videos.",-- / 0,,"To educate others, motivate by using famous freedom fighters as a face, movies, web series, and many more.",-- / 0,,"If common people's faces are used in deepfakes without their consent, this could harm their reputation, and even ruin their lives",-- / 0,
9.00 / 10,I am moderately aware.,-- / 0,,No,0.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am highly aware.,-- / 0,,No,1.00 / 1,,"I think not because it gives govt. more power to censor, which they can use to violate the free sppech and right to expresion.",-- / 0,,"for satirical purposes , and if it is quite evident that it is deepfake then i think it is ethical. For creative purposes , for example, someone made a song remix with Kishor Kumnar's voice by using deepfgake.",-- / 0,,"I Think the answer here is subjective as it depends on the figure of whom the deepfake is being made, but spreading misinformation throgh deepfakes is surely an unethical use.",-- / 0,,"like for example , Kishore Kumar's version of sayiraa song using deepfakes as it is quite entertaing and creative.",-- / 0,,pornography is a major problem with deepfakes. Misinformation can be easily spread through deepfakes.,-- / 0,
6.00 / 10,I am moderately aware.,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,yes. To make sure to not misuse,-- / 0,,It can give speeches ,-- / 0,,Yes so that we can visualize them,-- / 0,,A person who is not able to speak can use this and he can convey what he wants to say,-- / 0,,It can be like plagarism,-- / 0,
6.00 / 10,I am moderately aware.,-- / 0,,No,0.00 / 1,,i am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,"Yes, because it can lead to all kinds of misinformation, leading to even international conflicts based on the wrong information.",-- / 0,,"Deepfakes can be used in education if and only if the content used is ethical and according to the curriculum, it can be used for entertainment, however unregulated use will lead to many problems, including financial instability.",-- / 0,,"Yes, they can in order to make learning more interactive, however the line between ethical and unethical is based on information and the meaning of the content.",-- / 0,,"It can bee used with historic figures to teach children history, which make it less boring.",-- / 0,,"Financial instability of the world, misinformation: leading to wars, distrust and many more.",-- / 0,
5.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,"No, there can be many frauds using deepfake technology. If it is regulated by the law then there should be a huge check for no fraudulent activities which is not easy in India with a huge population.",-- / 0,,It can be used in politics as when someone a politician is not able to come or his/hers health conditions are not well but wants to convey his/hers thoughts. Then it can be used effectively. There can be many more such instances.,-- / 0,,"Yeah, it is good if we use it ethically but if we are using it to harass, make fun etc then it will be really bad.",-- / 0,,It can be used in politics as when someone a politician is not able to come or his/hers health conditions are not well but wants to convey his/hers thoughts. Then it can be used effectively. There can be many more such instances.,-- / 0,," it is good if we use it ethically but if we are using it to harass, make fun etc then it will be really bad. There can be many frauds using deepfake technology. If it is regulated by the law then there should be a huge check for no fraudulent activities which is not easy in India with a huge population.",-- / 0,
9.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am highly aware.,-- / 0,,Yes,0.00 / 1,,Yes it should be as people might try to create explicit images of popular figures and post them on social media,-- / 0,,They can be used for education and related stuff as it will help in cost cutting .,-- / 0,,As long as the images are not being used with the intent of demeaning or harassing someone they can be used to enhance storytelling etc,-- / 0,,Can be used when high quality images are not required,-- / 0,,Recently some explicit images of some actress were spread all over the internet,-- / 0,
8.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware.,-- / 0,,No,1.00 / 1,,"Yes because deepfake technology in malicious hands can increase the number of scams and innocent people, especially the elderly, can be scammed off money or property.",-- / 0,,"If a celebrity is given a contract to feature in an ad and he fails to show up fpr the shoot, a deepfake can be made to complete the job as no one will give a second thought of whether the celebrity is speaking or his/her deepfake.",-- / 0,,Absolutely.Visual graphics and their appearance has a psychological impact on viewers and the retention span of a person of a video/message is more when the way the message has been shared is visually appealing and convincing.,-- / 0,,Advanteages of deepfakes with goodwill is the impact on a person. If a story has a moral to propagate which the masses need to know then of rthem the method via it is being shared should be appealing.,-- / 0,,Scams and theft by convincing deceptively via deepfake. ,-- / 0,
6.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,No it is dangerous for the people who have no knowledge and for uneducated people,-- / 0,,yes,-- / 0,,yeah we can use it to educate the people and by using it we can create pictures in story telling and ,-- / 0,,we know about the people ,-- / 0,,people get fooled,-- / 0,
