Total score,How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think the image given above is a deepfake?,Do you think the image given above is a deepfake? [Score],Do you think the image given above is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think this is a deepfake?,Do you think this is a deepfake? [Score],Do you think this is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think this is a deepfake?,Do you think this is a deepfake? [Score],Do you think this is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think this is a deepfake?,Do you think this is a deepfake? [Score],Do you think this is a deepfake? [Feedback],How aware are you of the context?,How aware are you of the context? [Score],How aware are you of the context? [Feedback],Do you think this is a deepfake?,Do you think this is a deepfake? [Score],Do you think this is a deepfake? [Feedback],Do you think the use of deepfake technology should be regulated by law? Why or why not?,Do you think the use of deepfake technology should be regulated by law? Why or why not? [Score],Do you think the use of deepfake technology should be regulated by law? Why or why not? [Feedback],"In what situations (if any) do you believe deepfake technology can be ethically used? (e.g., entertainment, education, politics, etc.)  For example, by informing the users beforehand  and for societal benefits such as promoting harmony and unity.","In what situations (if any) do you believe deepfake technology can be ethically used? (e.g., entertainment, education, politics, etc.)  For example, by informing the users beforehand  and for societal benefits such as promoting harmony and unity. [Score]","In what situations (if any) do you believe deepfake technology can be ethically used? (e.g., entertainment, education, politics, etc.)  For example, by informing the users beforehand  and for societal benefits such as promoting harmony and unity. [Feedback]","Can deepfake technology be a tool for creativity and innovation, such as bringing historical figures to life for educational purposes or enhancing storytelling in films? Where do you draw the line between ethical and unethical use?","Can deepfake technology be a tool for creativity and innovation, such as bringing historical figures to life for educational purposes or enhancing storytelling in films? Where do you draw the line between ethical and unethical use? [Score]","Can deepfake technology be a tool for creativity and innovation, such as bringing historical figures to life for educational purposes or enhancing storytelling in films? Where do you draw the line between ethical and unethical use? [Feedback]","What could be some advantages  of using deepfakes, given a specific context? Give examples.","What could be some advantages  of using deepfakes, given a specific context? Give examples. [Score]","What could be some advantages  of using deepfakes, given a specific context? Give examples. [Feedback]",According to you what are some serious negative consequences of using deepfakes? Give examples.,According to you what are some serious negative consequences of using deepfakes? Give examples. [Score],According to you what are some serious negative consequences of using deepfakes? Give examples. [Feedback]
5.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,i am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,"Yes , Because I think it is breach of privacy",-- / 0,,In war situations,-- / 0,,Yes,-- / 0,,Education ,-- / 0,,Privacy Breach,-- / 0,
6.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,"yes it should be , as it may be used for malpractice",-- / 0,,yes,-- / 0,,yes,-- / 0,,u can use it for creating video clips easily of urself without performing  much,-- / 0,,there might be inappropriate use of deepfake which may be bad for that certain person,-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,YES. Deepfake tech can be used to manipulate facts.,-- / 0,,"Maybe education if rightly used, maybe in movies and stuff aswell.",-- / 0,,"It can be used for educational purposes or enhances storytelling in films, but bring back dead should not be allowed there is a line and we should respect that.",-- / 0,,Better CGI? I am not sure.,-- / 0,,Manipulating Facts,-- / 0,
7.00 / 10,I am moderately aware.,-- / 0,,Yes,1.00 / 1,,i am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,"It should , helps create images and audio in times of need , might not use it much when asked immediately but uses might start coming out.",-- / 0,,Probably to badmouth or ruin the reputation of someone famous?,-- / 0,,"yeah , it can be used for that , that is useful nd drawing the lin occurs at creating things that happened and things that didnt.If you create things that didnt happen for fun , then thats ine but to circulate and make it seem real is wrong.",-- / 0,,"better education boundaries and horizons nlocked for children who need visualization , you can imagine things better and overall its just fun.",-- / 0,,"reputation damage , evidence tampering , could make smth fake look real.",-- / 0,
7.00 / 10,I am not aware.,-- / 0,,Yes,1.00 / 1,,i am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,Yes because its getting realistic day by day,-- / 0,,yes,-- / 0,,whne it doesnt affect anyone personally,-- / 0,,meeting dead ones,-- / 0,,promotion of scams,-- / 0,
8.00 / 10,I am not aware.,-- / 0,,Yes,1.00 / 1,,i am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am highly aware.,-- / 0,,Yes,0.00 / 1,,"yes
in short it can destroy a persons public image if not detected.",-- / 0,,i dont think this is ethical at all,-- / 0,,in my opinion it should not be used for any living person although it should not be used for deceased people as well but this doesnt really affect the world,-- / 0,,"no
",-- / 0,,no,-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,No,0.00 / 1,,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware.,-- / 0,,No,1.00 / 1,,vefjnltwpbvqnkit,-- / 0,,nvfqenkot4ewk;qmwti4pjve,-- / 0,,v efnwkt4oooovie[mk;aldsetoi,-- / 0,,vtoen[ffwktoi4;q,-- / 0,,tvnewtio4hjvenkwntiu,-- / 0,
4.00 / 10,I am not aware.,-- / 0,,No,0.00 / 1,,I am highly aware.,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,0.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,0.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,Yes,0.00 / 1,,"Yes, because it makes things easier for most of the people",-- / 0,,entertaining,-- / 0,,yeah,-- / 0,,making inappropriate things,-- / 0,,making some inappropriate images and faking cctv records,-- / 0,
7.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am highly aware,-- / 0,,Yes,0.00 / 1,,I am moderately aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,Yes,1.00 / 1,,I am highly aware,-- / 0,,No,1.00 / 1,,I am highly aware.,-- / 0,,Yes,0.00 / 1,,No . It is the future,-- / 0,,Education,-- / 0,,There is no line,-- / 0,,Can increase productivity,-- / 0,,Can be used for frauds,-- / 0,
8.00 / 10,I am highly aware.,-- / 0,,Yes,1.00 / 1,,i am not aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am moderately aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,Yes,1.00 / 1,,I am moderately aware,-- / 0,,No,0.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,I am not aware,-- / 0,,No,1.00 / 1,,yes,-- / 0,,entertainment,-- / 0,,yes it can be useful impersonation and others might be illegal using deepfakes,-- / 0,,entertainment,-- / 0,,forgery and immitation might be difficult to mitigate,-- / 0,
